symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-09-30 00:00:00+00:00,223.97,224.58,220.79,220.9,26318583,54.1836759863,54.3312495112,53.4143582668,53.4409698861,105274332,0.0,1.0
AAPL,2019-10-01 00:00:00+00:00,224.59,228.22,224.2,225.07,36187163,54.3336687493,55.2118521838,54.2393184629,54.4497921786,144748652,0.0,1.0
AAPL,2019-10-02 00:00:00+00:00,218.96,223.58,217.93,223.06,35767257,52.9716376924,54.0893257,52.7224561669,53.9635253182,143069028,0.0,1.0
AAPL,2019-10-03 00:00:00+00:00,220.82,220.96,215.13,218.43,30352686,53.4216159812,53.4554853147,52.0450694957,52.8434180725,121410744,0.0,1.0
AAPL,2019-10-04 00:00:00+00:00,227.01,227.49,223.89,225.64,34755553,54.9191243723,55.0352478016,54.1643220815,54.587688751,139022212,0.0,1.0
AAPL,2019-10-07 00:00:00+00:00,227.06,229.93,225.84,226.27,30889269,54.9312205628,55.6255419009,54.6360735132,54.740100752,123557076,0.0,1.0
AAPL,2019-10-08 00:00:00+00:00,224.4,228.06,224.33,225.82,29282700,54.2877032251,55.173144374,54.2707685584,54.631235037,117130800,0.0,1.0
AAPL,2019-10-09 00:00:00+00:00,227.03,227.79,225.64,227.03,19029424,54.9239628485,55.107824945,54.587688751,54.9239628485,76117696,0.0,1.0
AAPL,2019-10-10 00:00:00+00:00,230.09,230.44,227.3,227.93,28962984,55.6642497107,55.7489230446,54.9892822775,55.1416942786,115851936,0.0,1.0
AAPL,2019-10-11 00:00:00+00:00,236.21,237.64,232.31,232.95,41990210,57.144823435,57.490774485,56.2013205714,56.3561518106,167960840,0.0,1.0
AAPL,2019-10-14 00:00:00+00:00,235.87,238.13,234.67,234.9,24413484,57.0625693392,57.6093171524,56.7722607658,56.8279032424,97653936,0.0,1.0
AAPL,2019-10-15 00:00:00+00:00,235.32,237.65,234.88,236.39,23040483,56.9295112431,57.4931937231,56.8230647661,57.188369721,92161932,0.0,1.0
AAPL,2019-10-16 00:00:00+00:00,234.37,235.24,233.2,233.37,19286694,56.6996836224,56.9101573382,56.4166327634,56.4577598113,77146776,0.0,1.0
AAPL,2019-10-17 00:00:00+00:00,235.28,236.15,233.52,235.09,17272897,56.9198342906,57.1303080063,56.494048383,56.8738687665,69091588,0.0,1.0
AAPL,2019-10-18 00:00:00+00:00,236.41,237.58,234.29,234.59,24248023,57.1932081972,57.4762590563,56.6803297176,56.7529068609,96992092,0.0,1.0
AAPL,2019-10-21 00:00:00+00:00,240.51,240.99,237.32,237.52,21811567,58.185095823,58.3012192524,57.4133588654,57.4617436276,87246268,0.0,1.0
AAPL,2019-10-22 00:00:00+00:00,239.96,242.2,239.62,241.16,22684001,58.0520377269,58.5939470639,57.9697836311,58.3423463002,90736004,0.0,1.0
